SIG,ra,dec,MODULUS,R,N_OBS,N_OBS_HALF,N_MODEL,MC_SOURCE_ID
4.85634739700795,53.4913867480181,-68.8736410454594,17,0.03,18,4,4.71375,0
4.82529015169498,3.99849380718965,-59.9678274617994,18.5,0.19,179,52,122.514375,0
4.82190296370901,3.09071118274696,-59.5834866242573,16,0.05,32,7,12.265625,0
4.79910612103834,49.1887695919417,-50.4529881745053,23,0.29,222,58,158.524765300141,0
4.78392576949039,3.99872945123918,-59.9742729637819,18.5,0.2,193,58,134.5,0
4.77423021031417,1.47310898592408,-61.4629915599255,18.5,0.07,41,16,17.94625,0
4.75725951168862,1.46493796313895,-61.4672166492235,18.5,0.07,41,15,18.0075,0
4.75556590807877,26.6029721355706,-68.5794663133617,23,0.06,35,11,14.265,0
4.75522037484812,53.351203678226,-68.4225228961916,22.5,0.04,16,4,3.96,0
4.74238198137201,49.3294000074098,-50.3931818724917,22.5,0.25,196,44,137.444678594553,0
4.71022500343142,53.309271644146,-68.6722582164716,22,0.24,244,65,178.2,0
4.68790211029567,27.121810555303,-68.3198850337616,16,0.03,20,7,5.979375,0
4.65516593144834,111.213910514067,-64.9278479704279,17.5,0.22,897,214,765.325,0
4.65224512524129,2.45383035586336,-61.0240281267012,17.5,0.04,21,6,6.56,0
4.64976207171571,41.826037135395,-74.1774737194398,23,0.02,9,2,1.3525,0
4.64727562117041,2.44613183281855,-61.0293000340123,17.5,0.04,21,8,6.57,0
4.63606108193325,25.6360500264424,-67.8142477861256,16.5,0.02,13,2,2.8325,0
4.63227179703457,55.5338455184746,-69.2952535821887,21.5,0.04,18,7,5.09,0
4.62004222114086,42.8894289362208,-55.0356909420856,20.5,0.05,21,7,6.625,0
4.55338807301432,54.1698515046989,-68.2868518953743,22,0.04,17,6,4.74,0
4.51327195402617,111.980364068979,-63.1123301061153,19,0.06,71,24,39.9375,0
4.51099254178528,49.5431243608175,-50.1611483667339,21.5,0.06,25,5,9.0477868423386,0
