ra dec
45.00000000000003 -67.93492864899139
50.999999999999986 -67.9349286489914
57.000000000000014 -67.93492864899137
327.0 -67.93492864899144
333.0 -67.93492864899144
339.0 -67.93492864899143
345.0 -67.93492864899143
351.00000000000006 -67.93492864899144
356.99999999999994 -67.93492864899144
3.2142857142857673 -69.42254649458224
9.642857142857306 -69.42254649458225
16.071428571428598 -69.42254649458224
22.500000000000014 -69.4225464945822
28.928571428571594 -69.42254649458224
35.357142857142875 -69.42254649458225
41.78571428571428 -69.4225464945822
48.21428571428575 -69.42254649458224
54.64285714285722 -69.42254649458224
61.0714285714286 -69.42254649458224
324.6428571428571 -69.42254649458228
331.0714285714286 -69.42254649458229
337.5 -69.42254649458225
343.92857142857144 -69.42254649458228
350.3571428571428 -69.42254649458224
356.7857142857144 -69.42254649458225
3.461538461538457 -70.90666664467565
10.38461538461541 -70.90666664467567
17.30769230769246 -70.90666664467567
24.230769230769276 -70.90666664467568
31.153846153846146 -70.90666664467562
38.07692307692308 -70.90666664467565
45.00000000000011 -70.90666664467567
51.923076923076884 -70.90666664467562
58.84615384615386 -70.90666664467565
162.6923076923077 -70.90666664467565
321.923076923077 -70.90666664467565
328.8461538461538 -70.90666664467568
335.76923076923083 -70.9066666446757
342.69230769230774 -70.90666664467571
349.61538461538464 -70.90666664467568
356.5384615384616 -70.90666664467568
3.750000000000142 -72.38756092964964
18.750000000000053 -72.38756092964962
26.250000000000036 -72.38756092964961
33.75000000000013 -72.38756092964962
41.249999999999964 -72.38756092964962
48.750000000000085 -72.38756092964962
56.24999999999991 -72.38756092964962
63.75000000000001 -72.38756092964961
153.75000000000003 -72.38756092964962
161.2499999999999 -72.38756092964962
168.7499999999999 -72.38756092964961
318.74999999999994 -72.38756092964962
326.25 -72.38756092964962
333.75000000000006 -72.3875609296496
341.25000000000006 -72.38756092964962
348.7500000000001 -72.38756092964967
356.25 -72.38756092964964
4.090909090909122 -73.86549608859852
20.45454545454559 -73.8654960885985
28.63636363636375 -73.8654960885985
36.81818181818188 -73.8654960885985
45.00000000000007 -73.86549608859848
53.181818181818194 -73.86549608859849
61.36363636363658 -73.86549608859848
69.54545454545458 -73.86549608859848
77.72727272727272 -73.86549608859848
151.3636363636363 -73.86549608859846
159.54545454545448 -73.8654960885985
167.72727272727263 -73.8654960885985
315.0 -73.8654960885985
323.1818181818181 -73.8654960885985
331.36363636363643 -73.86549608859849
339.5454545454545 -73.86549608859848
347.72727272727263 -73.86549608859849
355.90909090909093 -73.8654960885985
4.500000000000027 -75.34073424154305
13.50000000000019 -75.34073424154309
22.500000000000046 -75.3407342415431
31.500000000000018 -75.34073424154306
40.50000000000002 -75.3407342415431
49.50000000000003 -75.34073424154305
58.50000000000005 -75.34073424154309
67.50000000000006 -75.34073424154309
76.5 -75.34073424154305
85.5 -75.34073424154307
139.50000000000003 -75.34073424154305
148.4999999999999 -75.34073424154305
157.49999999999991 -75.34073424154307
166.50000000000003 -75.34073424154307
175.4999999999999 -75.34073424154309
319.5 -75.34073424154309
328.5 -75.34073424154309
337.5000000000001 -75.34073424154307
346.50000000000006 -75.34073424154307
355.50000000000006 -75.34073424154307
5.000000000000221 -76.81353334098658
15.000000000000062 -76.81353334098658
