ra dec
96.42857142857142 -58.919775352803114
100.71428571428572 -58.91977535280316
105.00000000000001 -58.919775352803114
109.28571428571429 -58.91977535280311
113.5714285714286 -58.91977535280316
117.85714285714282 -58.919775352803114
122.1428571428572 -58.91977535280316
126.42857142857137 -58.91977535280308
130.71428571428564 -58.919775352803114
47.250000000000085 -60.43443884495226
51.750000000000014 -60.43443884495229
56.250000000000014 -60.43443884495226
60.750000000000036 -60.434438844952275
65.25000000000001 -60.43443884495225
69.75000000000006 -60.43443884495223
74.24999999999994 -60.43443884495225
78.75000000000003 -60.43443884495226
83.25000000000003 -60.43443884495223
87.75 -60.43443884495225
92.24999999999999 -60.43443884495226
96.74999999999997 -60.43443884495223
101.24999999999999 -60.43443884495223
105.74999999999999 -60.43443884495221
110.25 -60.43443884495226
114.74999999999999 -60.43443884495226
119.24999999999996 -60.434438844952226
123.74999999999993 -60.434438844952226
128.25 -60.434438844952275
132.75 -60.434438844952275
49.73684210526323 -61.94383702315669
54.4736842105263 -61.94383702315669
59.210526315789515 -61.943837023156696
63.94736842105262 -61.94383702315671
68.68421052631578 -61.943837023156696
73.42105263157895 -61.943837023156675
78.15789473684207 -61.94383702315669
82.89473684210527 -61.943837023156696
87.63157894736842 -61.94383702315671
92.36842105263159 -61.94383702315669
97.10526315789471 -61.94383702315669
101.84210526315792 -61.943837023156696
106.57894736842105 -61.943837023156696
111.31578947368423 -61.943837023156725
116.05263157894738 -61.943837023156725
120.7894736842105 -61.943837023156696
125.52631578947366 -61.94383702315671
130.26315789473682 -61.94383702315671
134.99999999999997 -61.94383702315669
52.5 -63.44828368030105
57.500000000000064 -63.44828368030107
62.50000000000003 -63.448283680301046
67.50000000000001 -63.44828368030103
72.5 -63.44828368030105
77.50000000000003 -63.44828368030103
82.50000000000006 -63.44828368030103
87.50000000000003 -63.44828368030107
92.50000000000001 -63.448283680301046
97.49999999999999 -63.44828368030105
102.5 -63.44828368030107
107.50000000000001 -63.44828368030107
112.49999999999999 -63.44828368030105
117.5 -63.44828368030105
122.50000000000004 -63.44828368030105
127.49999999999999 -63.44828368030103
132.49999999999997 -63.44828368030103
137.49999999999991 -63.44828368030103
